¬ыплаты;—егмент;ƒата оплаты
18851,1;»мущество;25.07.2021
95637,91;»мущество;30.08.2019
50269,6;»мущество;10.01.2017
15480,77;»мущество;22.04.2022
445314,11;»мущество;31.03.2018
122657,82;»мущество;22.06.2018
18222,73;»мущество;15.10.2017
19479,47;»мущество;08.01.2018
28905,02;»мущество;13.04.2017
105817,51;»мущество;03.10.2021
34560,35;»мущество;13.01.2019
179952,6;»мущество;03.12.2018
63311,42;»мущество;18.11.2021
63339,7;»мущество;04.08.2022
34874,54;»мущество;13.03.2019
100539,2;»мущество;23.05.2018
61454,59;»мущество;22.09.2022
240414,36;»мущество;13.03.2017
239876,48;»мущество;10.03.2017
64973,46;»мущество;15.01.2018
48761,51;»мущество;19.01.2017
4901,29;»мущество;23.08.2019
125674;»мущество;06.12.2019
222065,96;»мущество;29.12.2019
192029,87;»мущество;18.11.2020
102795,05;»мущество;13.10.2022
62711,33;»мущество;21.07.2020
38958,94;»мущество;30.06.2017
33121,99;»мущество;17.04.2017
452426,4;»мущество;06.10.2019
62661,06;»мущество;30.11.2019
125674;»мущество;23.03.2021
93598,68;»мущество;31.10.2021
52970,12;»мущество;29.01.2020
66607,22;»мущество;26.02.2017
13824,14;»мущество;13.09.2022
130631,84;»мущество;03.03.2022
233376,62;»мущество;22.11.2021
61930,59;»мущество;16.05.2018
11939,03;»мущество;19.02.2021
233301,21;»мущество;12.11.2017
11373,5;»мущество;17.10.2022
29860,14;»мущество;08.09.2019
273466,62;»мущество;23.09.2022
125674;»мущество;15.05.2021
29533,39;»мущество;04.02.2018
26265,87;»мущество;13.07.2021
50646,62;»мущество;20.08.2022
125674;»мущество;28.01.2019
33052,26;»мущество;05.05.2021
26079,87;»мущество;19.10.2019
10820,53;»мущество;31.08.2017
54291,17;»мущество;24.10.2021
49012,86;»мущество;26.11.2017
35565,74;»мущество;28.04.2021
23249,69;»мущество;04.09.2017
28345,77;»мущество;12.09.2020
57558,69;»мущество;22.10.2018
68890,82;»мущество;08.03.2021
27391,18;»мущество;02.08.2019
314826,57;»мущество;28.07.2022
104937,79;»мущество;08.11.2017
43594,97;»мущество;18.08.2019
110639,41;»мущество;18.06.2019
6974,91;»мущество;18.03.2018
33554,96;»мущество;27.04.2022
125674;»мущество;02.04.2019
83698,88;»мущество;23.11.2022
125674;»мущество;11.12.2018
95512,24;»мущество;24.11.2019
47379,1;»мущество;29.05.2019
97271,68;»мущество;22.06.2019
67235,59;»мущество;13.12.2022
25197,64;»мущество;05.07.2017
-25197,64;»мущество;17.12.2022
25197,64;»мущество;04.02.2019
134345,51;»мущество;27.04.2021
94758,2;»мущество;03.09.2020
49012,86;»мущество;08.07.2018
27522,61;»мущество;05.03.2019
5969,52;»мущество;30.10.2019
68240,98;»мущество;26.07.2020
22872,67;»мущество;29.08.2022
27522,61;»мущество;16.07.2018
9111,37;»мущество;29.10.2020
36948,16;»мущество;26.04.2017
11562,01;»мущество;22.03.2019
18976,77;»мущество;26.01.2019
45116,97;»мущество;10.02.2020
12441,73;»мущество;17.03.2017
127936,13;»мущество;17.04.2019
31041,48;»мущество;07.11.2017
12693,07;»мущество;25.08.2018
202460,81;»мущество;04.08.2017
274918,16;»мущество;11.03.2020
308906,69;»мущество;23.12.2019
41158,24;»мущество;13.02.2018
53662,8;»мущество;26.12.2020
65727,5;»мущество;09.04.2018
365962,69;»мущество;30.09.2021
19353,8;»мущество;07.11.2020
44614,27;»мущество;11.11.2022
148911,12;»мущество;16.11.2022
5341,15;»мущество;18.02.2018
15293,27;»мущество;08.07.2019
48887,19;»мущество;15.12.2017
111158,65;»мущество;02.10.2022
88223,15;»мущество;05.01.2020
52657,41;»мущество;05.10.2020
116876,82;»мущество;27.09.2018
59946,5;»мущество;08.04.2022
55045,21;»мущество;11.05.2019
438099,56;»мущество;08.06.2017
502696;»мущество;12.04.2021
142514,32;»мущество;01.07.2018
49294,37;»мущество;24.09.2018
100870,4;»мущество;23.09.2017
65853,18;»мущество;30.12.2019
112352,56;»мущество;14.08.2017
79048,95;»мущество;01.01.2018
44111,57;»мущество;12.12.2022
9802,57;»мущество;18.09.2017
85458,32;»мущество;23.03.2018
45016,43;»мущество;31.08.2022
90698,93;»мущество;30.07.2018
18112,14;»мущество;25.08.2022
9901,1;»мущество;31.07.2020
39964,33;»мущество;31.12.2017
34937,37;»мущество;14.12.2018
125674;»мущество;14.10.2022
402031,13;»мущество;12.07.2019
125674;»мущество;10.09.2018
14341,92;»мущество;20.02.2019
125674;»мущество;10.12.2022
33258,77;»мущество;29.05.2020
201329,75;»мущество;27.04.2022
12190,38;»мущество;25.06.2017
54159,21;»мущество;15.09.2021
314,19;»мущество;26.02.2017
81637,83;»мущество;28.01.2017
87971,8;»мущество;26.05.2019
50395,27;»мущество;21.04.2019
76284,12;»мущество;04.05.2021
169157,2;»мущество;13.02.2022
367294,83;»мущество;07.10.2021
139630,73;»мущество;21.10.2021
139630,73;»мущество;05.07.2019
200324,36;»мущество;09.10.2022
18851,1;»мущество;03.11.2021
19102,45;»мущество;09.02.2017
80431,36;»мущество;28.11.2022
45493,99;»мущество;03.05.2019
27522,61;»мущество;20.08.2018
15080,88;»мущество;14.07.2019
188511;»мущество;15.08.2021
319086,29;»мущество;15.05.2021
32549,57;»мущество;03.02.2022
14578,18;»мущество;22.12.2020
5026,96;»мущество;28.11.2017
146033,19;»мущество;19.08.2020
23878,06;»мущество;20.12.2017
502696;»мущество;12.10.2018
59569,48;»мущество;11.05.2020
13509,96;»мущество;31.01.2018
13447,12;»мущество;31.01.2020
91390,13;»мущество;20.08.2022
9676,9;»мущество;08.02.2021
178959,78;»мущество;13.02.2019
185871,85;»мущество;11.05.2021
40467,03;»мущество;01.03.2022
122532,15;»мущество;27.12.2020
37450,85;»мущество;23.10.2019
36948,16;»мущество;01.01.2018
24129,41;»мущество;23.06.2018
30664,46;»мущество;17.02.2022
147918,3;»мущество;20.09.2017
18474,08;»мущество;08.11.2019
79693,89;»мущество;10.12.2021
14075,49;»мущество;20.11.2021
11939,03;»мущество;13.11.2018
218760,73;»мущество;06.04.2022
157218,17;»мущество;17.03.2020
48133,14;»мущество;18.10.2021
65224,81;»мущество;12.04.2018
10469,55;»мущество;12.04.2019
34748,86;»мущество;16.07.2019
21490,25;»мущество;22.08.2021
14201,16;»мущество;19.10.2020
26768,56;»мущество;02.05.2022
58187,06;»мущество;26.06.2018
89737,8;»мущество;28.04.2020
39587,31;»мущество;21.12.2017
28658,69;»мущество;09.05.2017
43885,36;»мущество;17.08.2022
39335,96;»мущество;14.06.2018
72938,16;»мущество;20.11.2022
15080,88;»мущество;16.06.2017
22621,32;»мущество;17.11.2022
12146,39;»мущество;23.06.2019
15583,58;»мущество;20.11.2022
72262,55;»мущество;30.10.2022
20107,84;»мущество;07.12.2018
48888,29;»мущество;20.07.2021
70000,42;»мущество;22.05.2019
87846,13;»мущество;06.12.2018
54542,52;»мущество;24.01.2018
51903,36;»мущество;11.04.2020
107576,94;»мущество;27.11.2019
26454,38;»мущество;15.09.2017
51777,69;»мущество;18.12.2019
125674;»мущество;18.07.2021
62393,95;»мущество;23.02.2021
53034,43;»мущество;04.11.2019
17217,34;»мущество;05.10.2021
146912,91;»мущество;19.12.2017
44237,25;»мущество;18.07.2020
44488,6;»мущество;25.07.2017
29784,74;»мущество;16.05.2017
44362,92;»мущество;27.09.2020
232465,27;»мущество;29.08.2020
17424,7;»мущество;25.01.2020
42226,46;»мущество;19.10.2017
100559,31;»мущество;05.05.2022
58249,9;»мущество;07.07.2021
103304,03;»мущество;08.11.2020
125674;»мущество;21.06.2017
158851,94;»мущество;18.12.2017
140588,99;»мущество;25.08.2021
15834,92;»мущество;25.01.2020
73936,05;»мущество;21.11.2017
39335,96;»мущество;21.02.2017
125674;»мущество;29.08.2021
125674;»мущество;03.12.2021
502696;»мущество;16.05.2017
25763,17;»мущество;13.09.2019
166769,4;»мущество;20.08.2021
59569,48;»мущество;07.07.2020
43923,06;»мущество;27.07.2022
11939,03;»мущество;28.10.2017
37199,5;»мущество;21.11.2017
42226,46;»мущество;04.05.2018
112101,21;»мущество;16.10.2021
12693,07;»мущество;09.04.2021
27522,61;»мущество;07.07.2022
25260,47;»мущество;20.07.2021
165356,82;»мущество;31.01.2022
25134,8;»мущество;17.06.2021
16965,99;»мущество;16.03.2018
66732,89;»мущество;29.03.2019
46499,38;»мущество;09.06.2022
66607,22;»мущество;12.04.2021
105817,51;»мущество;08.09.2018
91616,35;»мущество;30.04.2020
23865,49;»мущество;07.06.2019
110844,47;»мущество;18.06.2019
88600,17;»мущество;01.07.2021
157092,5;»мущество;14.08.2017
72237,42;»мущество;14.10.2022
79802,99;»мущество;18.09.2018
241545,43;»мущество;02.06.2022
42729,16;»мущество;26.02.2021
36068,44;»мущество;28.06.2022
52743,78;»мущество;22.02.2019
92998,76;»мущество;05.02.2020
12944,42;»мущество;19.11.2018
35314,39;»мущество;15.08.2022
228868,8;»мущество;27.09.2021
347362,94;»мущество;21.09.2022
405950,26;»мущество;24.11.2017
31418,5;»мущество;14.12.2022
54668,19;»мущество;26.05.2020
502696;»мущество;21.12.2022
163376,2;»мущество;15.01.2019
17946,25;»мущество;27.03.2017
29533,39;»мущество;16.06.2022
141131,9;»мущество;03.04.2017
46273,17;»мущество;22.08.2020
115863,89;»мущество;14.02.2022
45116,97;»мущество;05.02.2019
58061,39;»мущество;24.12.2021
125674;»мущество;11.02.2021
228322,24;»мущество;21.07.2020
12064,7;»мущество;20.07.2018
39109,75;»мущество;26.12.2019
83447,54;»мущество;11.08.2019
36354,6;»мущество;27.09.2019
114823,87;»мущество;28.04.2018
37953,55;»мущество;22.02.2020
21867,28;»мущество;01.01.2019
502696;»мущество;21.03.2020
145202,14;»мущество;16.08.2020
22178,39;»мущество;20.09.2018
29533,39;»мущество;03.11.2018
502696;»мущество;03.08.2022
254238,5;»мущество;13.05.2020
99785,16;»мущество;17.05.2019
45996,68;»мущество;07.09.2017
17217,34;»мущество;15.11.2021
36194,11;»мущество;11.10.2022
22369,97;»мущество;30.11.2021
29910,41;»мущество;20.09.2017
118825,27;»мущество;28.12.2020
84201,58;»мущество;08.09.2022
75404,4;»мущество;08.10.2017
66732,89;»мущество;19.04.2019
24280,22;»мущество;31.03.2021
80544,47;»мущество;21.10.2022
61957,28;»мущество;11.03.2020
26768,56;»мущество;31.08.2022
108961,49;»мущество;03.06.2019
38204,9;»мущество;13.09.2018
502696;»мущество;15.02.2019
26265,87;»мущество;20.05.2021
37199,5;»мущество;14.04.2022
71131,48;»мущество;15.09.2020
5403,98;»мущество;22.07.2021
176361,87;»мущество;02.10.2017
53914,15;»мущество;23.09.2021
30036,09;»мущество;26.10.2021
61705,93;»мущество;19.09.2017
68115,31;»мущество;22.05.2019
49138,53;»мущество;13.10.2018
117756,54;»мущество;13.07.2018
33429,28;»мущество;30.06.2020
29659,06;»мущество;24.06.2019
596951,5;»мущество;21.04.2022
596951,5;»мущество;09.04.2021
502696;»мущество;02.02.2018
41472,42;»мущество;06.01.2020
233558,85;»мущество;01.02.2018
18222,73;»мущество;25.07.2022
69948,65;»мущество;30.04.2019
226590,22;»мущество;25.05.2022
87469,1;»мущество;25.05.2017
502696;»мущество;15.11.2018
22219,05;»мущество;06.08.2021
49892,58;»мущество;30.04.2022
19102,45;»мущество;29.04.2021
89354,21;»мущество;24.08.2019
90485,28;»мущество;16.10.2021
8483;»мущество;28.02.2019
42980,51;»мущество;11.10.2022
288547,5;»мущество;20.03.2021
86589,39;»мущество;16.01.2018
38079,22;»мущество;04.10.2021
19730,82;»мущество;01.01.2022
105691,83;»мущество;22.11.2019
125674;»мущество;21.10.2021
132309,59;»мущество;11.03.2018
56704,11;»мущество;08.04.2018
295710,92;»мущество;26.09.2020
37702,2;»мущество;05.09.2021
445059,89;»мущество;18.04.2019
57636,11;»мущество;13.12.2018
13824,14;»мущество;11.05.2021
12591,28;»мущество;18.02.2018
24757,78;»мущество;14.03.2017
51878,23;»мущество;14.05.2021
294956,88;»мущество;19.08.2021
38456,24;»мущество;04.05.2017
374508,52;»мущество;12.04.2017
18725,43;»мущество;08.11.2019
51532,99;»мущество;28.03.2017
40969,72;»мущество;16.11.2022
116876,82;»мущество;17.09.2018
72262,55;»мущество;16.03.2020
78797,6;»мущество;01.04.2017
125674;»мущество;22.05.2017
77792,21;»мущество;17.01.2018
27396,93;»мущество;10.10.2020
120647,04;»мущество;08.09.2021
24081,44;»мущество;01.06.2022
28707,32;»мущество;28.11.2018
179172,17;»мущество;22.03.2021
50720,77;»мущество;31.01.2022
26181,66;»мущество;28.05.2018
125674;»мущество;09.02.2021
115934,27;»мущество;07.09.2018
31418,5;»мущество;11.05.2017
45237,61;»мущество;04.08.2017
52531,73;»мущество;25.06.2019
141257,58;»мущество;15.02.2019
43985,9;»мущество;06.06.2017
103128,08;»мущество;22.09.2021
47253,42;»мущество;20.01.2022
150808,8;»мущество;15.05.2022
12043,75;»мущество;02.08.2020
21364,58;»мущество;21.05.2017
44290,13;»мущество;26.09.2018
12456,81;»мущество;22.12.2022
63968,07;»мущество;01.11.2017
175817,93;»мущество;03.11.2022
157896,81;»мущество;09.12.2022
17544,09;»мущество;28.11.2020
236895,49;»мущество;28.01.2017
41598,09;»мущество;19.07.2022
49264,21;»мущество;16.12.2019
82567,82;»мущество;30.08.2017
87846,13;»мущество;28.06.2018
27334,1;»мущество;04.02.2019
16714,64;»мущество;23.11.2021
39210,29;»мущество;03.12.2018
98402,74;»мущество;03.03.2022
37953,55;»мущество;03.11.2017
81185,4;»мущество;19.04.2022
11184,99;»мущество;17.01.2021
125674;»мущество;10.12.2018
181473,26;»мущество;09.01.2020
285908,35;»мущество;19.10.2017
84586,14;»мущество;18.03.2022
32172,54;»мущество;04.11.2018
55799,26;»мущество;10.04.2017
153070,93;»мущество;10.02.2020
53788,47;»мущество;15.07.2018
12190,38;»мущество;04.01.2021
195046,05;»мущество;01.03.2017
502696;»мущество;18.02.2022
103555,38;»мущество;01.05.2018
50269,6;»мущество;15.03.2019
74273,33;»мущество;06.02.2019
27447,2;»мущество;01.01.2020
39974,39;»мущество;21.12.2021
252604,74;»мущество;30.03.2017
10179,59;»мущество;11.11.2018
69214,04;»мущество;01.05.2019
27899,63;»мущество;13.03.2021
11562,01;»мущество;24.12.2018
87343,43;»мущество;09.10.2022
73142,27;»мущество;12.11.2019
90011,65;»мущество;20.06.2020
43659,15;»мущество;24.12.2018
125674;»мущество;25.02.2017
39176,36;»мущество;13.08.2022
15080,88;»мущество;03.12.2021
41723,77;»мущество;10.04.2020
29282,04;»мущество;17.10.2022
628,37;»мущество;05.08.2019
101670,27;»мущество;30.05.2022
140754,88;»мущество;22.12.2022
57684,37;»мущество;23.09.2017
62837;»мущество;16.12.2019
182855,67;»мущество;30.06.2020
112729,58;»мущество;27.02.2020
54291,17;»мущество;17.01.2019
43357,53;»мущество;25.04.2021
40467,03;»мущество;18.11.2017
52700,14;»мущество;08.04.2019
502696;»мущество;14.05.2021
502696;»мущество;11.06.2021
502696;»мущество;23.08.2017
69072,94;»мущество;07.05.2017
61580,26;»мущество;02.02.2017
70503,11;»мущество;07.04.2019
56553,3;»мущество;19.10.2019
50269,6;»мущество;29.03.2021
81618,94;»мущество;02.07.2021
46373,71;»мущество;21.07.2019
304656,79;»мущество;16.10.2019
56930,32;»мущество;27.11.2019
10682,29;»мущество;03.08.2018
196679,81;»мущество;26.06.2017
325955,63;»мущество;15.12.2020
68853,98;»мущество;17.06.2021
64923,19;»мущество;07.02.2021
26768,56;»мущество;21.10.2018
153322,28;»мущество;21.11.2018
171042,31;»мущество;27.10.2020
30724,78;»мущество;20.07.2022
36068,44;»мущество;28.06.2022
68671,67;»мущество;14.06.2018
48824,35;»мущество;11.12.2021
56553,3;»мущество;18.06.2020
11310,66;»мущество;14.01.2022
173430,12;»мущество;15.05.2017
314,19;»мущество;26.11.2021
86752,76;»мущество;13.06.2018
28905,02;»мущество;19.07.2019
150808,8;»мущество;02.05.2018
25763,17;»мущество;22.01.2020
31795,52;»мущество;15.09.2020
27648,28;»мущество;24.09.2021
6032,35;»мущество;14.02.2018
78923,27;»мущество;29.05.2018
118133,56;»мущество;16.10.2018
11373,5;»мущество;21.02.2022
198439,25;»мущество;10.07.2019
17594,36;»мущество;20.12.2022
17091,66;»мущество;16.05.2019
17217,34;»мущество;15.09.2021
76284,12;»мущество;24.07.2019
72980,15;»мущество;12.08.2021
9425,55;»мущество;13.12.2019
95763,59;»мущество;14.05.2018
20987,56;»мущество;28.12.2017
137553,89;»мущество;19.05.2021
349122,37;»мущество;28.03.2019
502696;»мущество;04.12.2018
255746,59;»мущество;07.06.2018
40215,68;»мущество;24.02.2021
13128,4;»мущество;26.05.2017
20610,54;»мущество;28.03.2021
14075,49;»мущество;17.10.2021
45242,64;»мущество;25.06.2019
125674;»мущество;02.04.2019
14955,21;»мущество;08.12.2022
53411,45;»мущество;25.11.2018
63842,39;»мущество;19.11.2019
94695,36;»мущество;26.05.2018
50018,25;»мущество;04.01.2022
251725,02;»мущество;20.09.2017
25009,13;»мущество;30.05.2022
53097,27;»мущество;19.03.2018
31418,5;»мущество;13.11.2018
22244,3;»мущество;23.11.2022
68492,33;»мущество;12.10.2022
121526,76;»мущество;19.03.2020
76912,49;»мущество;19.08.2021
8860,02;»мущество;25.02.2017
44739,94;»мущество;09.11.2018
79677,32;»мущество;25.05.2022
13949,81;»мущество;12.03.2021
20820,1;»мущество;21.02.2019
142011,62;»мущество;14.03.2018
35817,09;»мущество;24.07.2019
125674;»мущество;20.09.2017
36005,6;»мущество;19.11.2018
73393,62;»мущество;20.02.2018
102424,31;»мущество;08.01.2017
58815,43;»мущество;18.04.2020
5026,96;»мущество;11.06.2017
60449,19;»мущество;19.10.2020
247077,58;»мущество;24.05.2020
72266,32;»мущество;18.08.2022
37765,04;»мущество;29.07.2018
23815,22;»мущество;26.05.2019
20359,19;»мущество;26.06.2022
30915,8;»мущество;24.08.2022
64973,46;»мущество;22.05.2022
24632,1;»мущество;27.02.2017
12944,42;»мущество;15.11.2021
12316,05;»мущество;26.08.2021
12190,38;»мущество;16.10.2019
16400,46;»мущество;21.07.2021
380540,87;»мущество;23.11.2018
38456,24;»мущество;14.03.2022
20861,88;»мущество;31.03.2020
12944,42;»мущество;16.04.2021
74961,02;»мущество;16.01.2018
3330,36;»мущество;15.12.2020
45242,64;»мущество;28.09.2020
42352,14;»мущество;10.12.2019
11541,9;»мущество;22.11.2022
43231,86;»мущество;28.11.2019
39461,64;»мущество;30.01.2020
5026,96;»мущество;01.03.2019
56143,3;»мущество;13.03.2019
8168,81;»мущество;07.05.2022
185180,64;»мущество;19.08.2017
24206,04;»мущество;23.09.2022
1005,39;»мущество;13.04.2018
11564,52;»мущество;15.09.2017
11559,49;»мущество;06.09.2019
74901,7;»мущество;21.06.2022
502696;»мущество;31.10.2017
301743,27;»мущество;08.03.2020
399643,32;»мущество;09.07.2021
40529,87;»мущество;22.09.2018
54291,17;»мущество;16.07.2019
207594,22;»мущество;13.09.2019
381567,63;»мущество;10.01.2019
40215,68;»мущество;30.10.2019
23752,39;»мущество;30.05.2021
66230,2;»мущество;04.03.2017
26391,54;»мущество;20.04.2020
22998,34;»мущество;27.03.2017
215081,14;»мущество;30.09.2021
102801,33;»мущество;28.07.2018
32926,59;»мущество;15.02.2019
216033,61;»мущество;06.12.2022
54112,46;»мущество;24.06.2022
24003,73;»мущество;29.08.2020
121149,74;»мущество;16.10.2020
92621,74;»мущество;13.09.2018
39142,99;»мущество;19.02.2020
123411,87;»мущество;06.08.2017
107953,97;»мущество;10.02.2018
23878,06;»мущество;17.10.2020
88600,17;»мущество;28.01.2020
19468,16;»мущество;09.08.2019
53285,78;»мущество;13.05.2019
90610,95;»мущество;27.09.2021
119641,65;»мущество;04.08.2020
119641,65;»мущество;29.06.2022
56268,02;»мущество;19.07.2017
57684,37;»мущество;25.02.2019
26265,87;»мущество;09.04.2021
112729,58;»мущество;17.09.2019
11813,36;»мущество;04.03.2018
31041,48;»мущество;30.01.2018
16714,64;»мущество;15.04.2022
52513,51;»мущество;09.07.2022
52513,51;»мущество;29.10.2022
62837;»мущество;27.11.2020
42603,49;»мущество;25.06.2017
18411,24;»мущество;22.07.2022
46436,54;»мущество;25.12.2022
22637,31;»мущество;10.08.2021
21615,93;»мущество;07.08.2018
114991,71;»мущество;21.09.2018
283332,03;»мущество;21.12.2017
19479,96;»мущество;13.12.2022
12064,7;»мущество;28.10.2022
53788,47;»мущество;28.12.2017
39838,66;»мущество;04.12.2020
192515,63;»мущество;31.08.2020
20359,19;»мущество;11.05.2019
15395,07;»мущество;03.08.2019
60658,48;»мущество;20.06.2022
25962,56;»мущество;03.10.2022
19982,17;»мущество;06.05.2021
222442,98;»мущество;24.03.2018
280253,02;»мущество;02.10.2021
52783,08;»мущество;14.12.2020
17594,36;»мущество;04.02.2017
53662,8;»мущество;12.08.2019
67109,92;»мущество;12.03.2017
21992,95;»мущество;21.01.2020
219929,5;»мущество;03.10.2022
214651,19;»мущество;13.10.2021
74901,7;»мущество;01.11.2017
98214,23;»мущество;04.02.2020
225463,63;»мущество;03.07.2022
125674;»мущество;12.01.2017
110404,61;»мущество;04.08.2017
144525,1;»мущество;19.06.2022
15080,88;»мущество;09.05.2018
39084,61;»мущество;26.09.2017
16840,32;»мущество;11.02.2017
11059,31;»мущество;01.08.2019
18104,23;»мущество;09.08.2019
10682,29;»мущество;28.12.2020
33931,98;»мущество;14.03.2021
41723,77;»мущество;14.08.2019
80808,38;»мущество;12.01.2020
30497,31;»мущество;16.10.2021
37325,18;»мущество;27.07.2017
28402,32;»мущество;24.10.2022
38154,63;»мущество;09.09.2017
106068,86;»мущество;01.09.2019
97523,02;»мущество;21.05.2022
153699,3;»мущество;02.08.2018
80180,01;»мущество;04.05.2017
18976,77;»мущество;26.05.2018
25134,8;»мущество;24.06.2020
62334,3;»мущество;19.07.2019
121401,08;»мущество;05.02.2020
52280,38;»мущество;13.05.2020
97316,84;»мущество;03.01.2017
71241,35;»мущество;09.04.2017
115620,08;»мущество;17.05.2018
125674;»мущество;02.08.2019
11626,73;»мущество;20.08.2017
82570,33;»мущество;23.01.2019
65099,13;»мущество;18.05.2017
502696;»мущество;29.03.2019
143959,57;»мущество;09.08.2022
165386,98;»мущество;29.10.2021
16211,95;»мущество;18.08.2020
13509,96;»мущество;26.05.2017
23283,91;»мущество;09.12.2019
18348,4;»мущество;03.11.2018
274116,08;»мущество;02.07.2020
185871,85;»мущество;18.01.2018
157922,15;»мущество;19.07.2022
314,19;»мущество;05.04.2022
285639,76;»мущество;02.03.2021
246572,39;»мущество;24.04.2018
154538,8;»мущество;30.07.2022
296464,97;»мущество;15.11.2017
87469,1;»мущество;09.02.2020
65978,85;»мущество;18.03.2019
38330,57;»мущество;30.06.2017
75907,1;»мущество;07.03.2018
18864,66;»мущество;29.11.2018
27145,58;»мущество;26.04.2020
117307,88;»мущество;16.11.2018
107506,57;»мущество;30.06.2021
75907,1;»мущество;20.08.2017
77163,84;»мущество;08.10.2021
207110,75;»мущество;19.01.2017
15652,04;»мущество;16.09.2018
33303,61;»мущество;16.02.2019
176948,99;»мущество;01.08.2020
16463,29;»мущество;17.09.2019
125674;»мущество;07.02.2020
50143,93;»мущество;01.11.2021
125674;»мущество;01.01.2022
112101,21;»мущество;05.09.2022
36948,16;»мущество;08.06.2021
22244,3;»мущество;19.08.2017
50583,79;»мущество;30.09.2018
19605,14;»мущество;26.08.2018
85458,32;»мущество;07.09.2017
257568,86;»мущество;02.10.2020
17845,71;»мущество;05.02.2018
71885,53;»мущество;08.08.2017
28653,67;»мущество;18.02.2021
125674;»мущество;08.04.2018
320468,7;»мущество;08.02.2019
12755,91;»мущество;14.05.2022
172824,22;»мущество;30.06.2020
100790,55;»мущество;07.06.2020
100413,53;»мущество;30.08.2022
223574,05;»мущество;02.09.2018
47504,77;»мущество;23.08.2019
13824,14;»мущество;14.03.2017
113232,27;»мущество;16.03.2020
24255,08;»мущество;03.03.2019
86463,71;»мущество;24.10.2019
84730,96;»мущество;04.03.2019
99590,36;»мущество;10.07.2022
91490,67;»мущество;05.01.2018
30036,09;»мущество;07.06.2022
36188,14;»мущество;20.07.2017
47253,42;»мущество;20.09.2017
69007,59;»мущество;25.12.2017
35938,29;»мущество;15.11.2020
23375,36;»мущество;07.08.2022
61580,26;»мущество;19.09.2018
10833,1;»мущество;26.12.2021
45101,7;»мущество;22.02.2018
38456,24;»мущество;12.10.2019
26014,52;»мущество;08.03.2020
37450,85;»мущество;24.08.2022
125674;»мущество;21.03.2018
55296,56;»мущество;11.08.2022
12567,4;»мущество;20.07.2019
502696;»мущество;20.11.2019
3141,85;»мущество;16.02.2021
12944,42;»мущество;02.08.2017
11436,33;»мущество;23.05.2021
4021,57;»мущество;13.10.2020
84818,64;»мущество;14.02.2020
22684,16;»мущество;04.08.2021
13197,27;»мущество;28.05.2017
33749,99;»мущество;28.06.2020
52800,67;»мущество;15.04.2019
154654,42;»мущество;26.01.2019
99659,48;»мущество;28.10.2022
18725,43;»мущество;29.10.2022
31041,48;»мущество;14.12.2019
41975,12;»мущество;24.04.2017
80934,06;»мущество;19.02.2019
83196,19;»мущество;01.01.2017
113914,68;»мущество;04.09.2022
32674,1;»мущество;24.02.2020
24883,45;»мущество;11.01.2021
50520,95;»мущество;13.02.2017
35565,74;»мущество;06.06.2017
38320,37;»мущество;19.09.2019
85222,05;»мущество;04.09.2022
11184,99;»мущество;28.10.2018
22998,34;»мущество;30.08.2017
17091,66;»мущество;04.12.2020
63088,35;»мущество;18.10.2021
125674;»мущество;10.05.2019
58438,41;»мущество;08.01.2019
40605,27;»мущество;16.10.2021
400284,26;»мущество;27.03.2017
13195,77;»мущество;24.11.2017
502696;»мущество;06.07.2020
30790,13;»мущество;08.11.2017
21716,47;»мущество;17.09.2017
26391,54;»мущество;05.03.2020
292569,07;»мущество;31.05.2017
44111,57;»мущество;14.08.2020
57558,69;»мущество;11.01.2020
10933,64;»мущество;26.05.2018
62962,67;»мущество;08.01.2020
188762,35;»мущество;06.07.2020
79425,97;»мущество;15.02.2018
461684,8;»мущество;10.02.2019
31732,69;»мущество;29.11.2022
172584,33;»мущество;24.02.2020
48554,15;»мущество;08.07.2017
81059,73;»мущество;18.11.2018
43985,9;»мущество;30.05.2017
50269,6;»мущество;11.01.2018
37702,2;»мущество;06.02.2021
125674;»мущество;23.11.2019
69120,7;»мущество;29.08.2020
67738,29;»мущество;05.10.2019
66759,37;»мущество;27.06.2022
283181,22;»мущество;02.07.2018
70126,09;»мущество;28.08.2018
25386,15;»мущество;19.01.2017
67361,26;»мущество;13.06.2022
41723,77;»мущество;27.01.2019
101293,24;»мущество;22.07.2021
42540,65;»мущество;23.10.2018
42540,65;»мущество;15.07.2020
5026,96;»мущество;17.08.2018
485101,64;»мущество;22.06.2019
144525,1;»мущество;09.11.2018
57648,88;»мущество;04.01.2018
165386,98;»мущество;25.05.2020
44739,94;»мущество;16.08.2022
62962,67;»мущество;01.06.2017
15583,58;»мущество;26.03.2020
77792,21;»мущество;07.05.2022
181473,26;»мущество;11.10.2022
39587,31;»мущество;01.11.2021
66940,63;»мущество;02.11.2017
31795,52;»мущество;27.09.2017
34686,02;»мущество;05.09.2019
125674;»мущество;16.05.2019
29894,01;»мущество;27.12.2020
37029,92;»мущество;15.08.2020
76032,77;»мущество;25.08.2022
46485,91;»мущество;25.09.2020
139060,79;»мущество;14.12.2017
172173,38;»мущество;01.01.2022
271455,84;»мущество;14.08.2022
37199,5;»мущество;11.03.2018
28905,02;»мущество;03.02.2021
27396,93;»мущество;28.05.2017
177464,26;»мущество;27.06.2018
175943,6;»мущество;23.12.2017
