¬ыплаты;—егмент;ƒата оплаты
6415,66;ядерные риски;09.10.2020
30743,63;ядерные риски;18.02.2018
31699,27;ядерные риски;05.07.2017
60917,96;ядерные риски;22.07.2018
123075,06;ядерные риски;04.06.2020
74269,56;ядерные риски;02.08.2018
91243,09;ядерные риски;16.01.2017
24156,43;ядерные риски;07.11.2019
70824,84;ядерные риски;14.07.2020
20690,49;ядерные риски;20.08.2019
43287,15;ядерные риски;22.11.2017
33211,87;ядерные риски;19.06.2022
34174,53;ядерные риски;01.11.2018
32778,29;ядерные риски;08.11.2017
44518,62;ядерные риски;14.01.2020
21293,47;ядерные риски;29.10.2017
35531,96;ядерные риски;30.09.2020
11140,1;ядерные риски;05.03.2019
8294,48;ядерные риски;09.03.2018
52790,09;ядерные риски;13.03.2017
30681,13;ядерные риски;07.11.2019
23249,69;ядерные риски;26.07.2019
9439,02;ядерные риски;07.04.2020
16965,99;ядерные риски;21.10.2018
63668,71;ядерные риски;28.10.2020
6283,7;ядерные риски;06.04.2019
14299,19;ядерные риски;17.06.2018
169260,43;ядерные риски;04.06.2022
175765,05;ядерные риски;19.02.2020
29736,98;ядерные риски;04.06.2021
93396,73;ядерные риски;14.06.2022
6283,7;ядерные риски;06.05.2021
5718,17;ядерные риски;18.09.2020
7108,62;ядерные риски;13.10.2020
59443,8;ядерные риски;08.08.2019
17164,55;ядерные риски;08.02.2019
3931,08;ядерные риски;03.11.2021
3931,08;ядерные риски;10.05.2022
5655,33;ядерные риски;11.05.2019
31418,5;ядерные риски;09.11.2022
4838,45;ядерные риски;14.08.2018
24590,3;ядерные риски;24.08.2019
30901,7;ядерные риски;17.07.2021
47644,27;ядерные риски;26.12.2020
5968,89;ядерные риски;02.10.2019
17051,22;ядерные риски;12.05.2021
2513,48;ядерные риски;17.11.2017
16965,99;ядерные риски;07.07.2020
31418,5;ядерные риски;19.12.2017
5152,63;ядерные риски;16.05.2018
5460,49;ядерные риски;05.02.2021
31418,5;ядерные риски;08.06.2019
36275,8;ядерные риски;24.10.2018
24694,94;ядерные риски;02.04.2020
16965,99;ядерные риски;31.03.2017
35194,58;ядерные риски;21.01.2020
3983,58;ядерные риски;03.11.2017
1039,66;ядерные риски;20.12.2019
29344,88;ядерные риски;20.02.2018
115769,2;ядерные риски;04.12.2021
-115769,2;ядерные риски;12.03.2019
115769,2;ядерные риски;20.06.2019
2465048,76;ядерные риски;20.10.2022
390687,79;ядерные риски;10.10.2018
1529240,19;ядерные риски;10.12.2021
457375,5;ядерные риски;16.06.2019
50627,77;ядерные риски;06.09.2020
315718,22;ядерные риски;10.11.2019
423347,95;ядерные риски;09.12.2017
265995,3;ядерные риски;16.06.2021
94433,96;ядерные риски;02.05.2022
161946,03;ядерные риски;27.08.2022
321742,78;ядерные риски;18.06.2022
332910,43;ядерные риски;13.02.2017
191681,76;ядерные риски;23.08.2020
26263,35;ядерные риски;10.02.2019
122582,42;ядерные риски;04.07.2018
1646955,26;ядерные риски;31.01.2017
45712,66;ядерные риски;30.11.2019
650237,28;ядерные риски;11.10.2019
123160,52;ядерные риски;07.10.2019
56955,46;ядерные риски;07.07.2021
21615,93;ядерные риски;07.11.2021
245496,62;ядерные риски;10.08.2022
37757,74;ядерные риски;03.03.2019
37757,74;ядерные риски;14.08.2021
458710,1;ядерные риски;31.05.2021
1146,35;ядерные риски;04.07.2019
9274,74;ядерные риски;07.12.2018
179378,27;ядерные риски;26.10.2020
1379229,92;ядерные риски;07.06.2021
1379229,92;ядерные риски;25.08.2020
2758459,85;ядерные риски;13.12.2017
2758459,85;ядерные риски;15.09.2018
2758459,85;ядерные риски;27.12.2017
2262132;ядерные риски;19.01.2020
2359792,73;ядерные риски;13.03.2020
100304,19;ядерные риски;30.04.2020
144416,88;ядерные риски;26.07.2018
12174176,75;ядерные риски;25.09.2018
40516,04;ядерные риски;28.08.2017
147773,77;ядерные риски;12.08.2019
20058,83;ядерные риски;25.01.2017
570979,06;ядерные риски;20.02.2018
39160,02;ядерные риски;29.10.2022
89046,31;ядерные риски;22.09.2021
343689,48;ядерные риски;12.01.2022
36533,43;ядерные риски;06.11.2021
550454,91;ядерные риски;03.01.2021
269380,35;ядерные риски;24.10.2018
857580,61;ядерные риски;02.08.2020
84561,01;ядерные риски;17.05.2017
3391878,42;ядерные риски;03.12.2021
77632,27;ядерные риски;13.11.2018
76295,43;ядерные риски;04.07.2018
16298,66;ядерные риски;13.01.2019
109051,1;ядерные риски;05.05.2020
80883,79;ядерные риски;22.02.2022
32623,45;ядерные риски;08.07.2018
92261,05;ядерные риски;19.05.2018
3141850;ядерные риски;11.06.2019
540971,27;ядерные риски;24.05.2017
26259,58;ядерные риски;14.07.2020
3770,22;ядерные риски;19.04.2022
16472,92;ядерные риски;27.02.2021
6767,54;ядерные риски;09.06.2021
29312,4;ядерные риски;20.03.2021
13453,1;ядерные риски;15.02.2020
309158,04;ядерные риски;09.07.2022
125082,98;ядерные риски;01.03.2020
123861,78;ядерные риски;30.01.2017
4569987,14;ядерные риски;25.11.2017
65959,46;ядерные риски;28.04.2019
86220,41;ядерные риски;12.04.2021
40424,3;ядерные риски;06.07.2021
90485,28;ядерные риски;02.02.2020
10900,42;ядерные риски;09.02.2022
-10900,42;ядерные риски;12.08.2019
10900,42;ядерные риски;27.01.2020
66575,8;ядерные риски;13.11.2020
82508,71;ядерные риски;27.11.2019
82508,71;ядерные риски;10.03.2017
82508,71;ядерные риски;05.06.2018
82508,71;ядерные риски;28.04.2018
130865,25;ядерные риски;18.12.2017
294289,55;ядерные риски;25.05.2021
30533,76;ядерные риски;12.11.2022
10502,58;ядерные риски;11.03.2018
19067,54;ядерные риски;27.05.2017
41511,38;ядерные риски;09.07.2020
79561,7;ядерные риски;17.06.2022
39332,19;ядерные риски;26.12.2017
3895,89;ядерные риски;08.09.2021
479190,41;ядерные риски;22.03.2019
41777,81;ядерные риски;12.12.2021
29978,28;ядерные риски;12.06.2017
13893,31;ядерные риски;06.03.2020
12231,85;ядерные риски;29.05.2020
66931,46;ядерные риски;01.05.2019
180437,71;ядерные риски;27.03.2017
675452,85;ядерные риски;19.11.2021
-675452,85;ядерные риски;02.02.2017
675452,85;ядерные риски;24.09.2020
7226,26;ядерные риски;14.08.2019
125674;ядерные риски;15.10.2021
74197,93;ядерные риски;01.01.2022
145235,54;ядерные риски;03.08.2020
145235,54;ядерные риски;18.03.2020
74280,82;ядерные риски;21.01.2022
50269,6;ядерные риски;27.03.2017
-50269,6;ядерные риски;08.04.2017
50269,6;ядерные риски;18.05.2017
2228,19;ядерные риски;12.12.2022
4997,21;ядерные риски;09.05.2019
35812,06;ядерные риски;16.10.2020
3191075,07;ядерные риски;09.01.2019
56952,94;ядерные риски;29.10.2021
21411,08;ядерные риски;26.12.2017
125674;ядерные риски;18.02.2018
52899,77;ядерные риски;05.02.2018
20405,69;ядерные риски;12.02.2019
38672,4;ядерные риски;21.10.2018
81688,1;ядерные риски;07.12.2022
2980,99;ядерные риски;21.02.2021
4595,47;ядерные риски;02.09.2018
4595,47;ядерные риски;17.09.2019
4595,47;ядерные риски;30.06.2018
2055670,57;ядерные риски;27.08.2022
86972,11;ядерные риски;18.06.2022
161737,41;ядерные риски;26.04.2022
27883,86;ядерные риски;25.05.2018
22258,12;ядерные риски;09.09.2017
463774,76;ядерные риски;15.10.2021
30751,17;ядерные риски;10.06.2022
595121,02;ядерные риски;18.03.2017
131802,49;ядерные риски;05.03.2021
519897,24;ядерные риски;26.04.2019
24675,64;ядерные риски;12.11.2019
23156,69;ядерные риски;28.11.2021
27750,08;ядерные риски;05.07.2019
18526,86;ядерные риски;09.09.2019
21715,2;ядерные риски;25.10.2019
2658816,38;ядерные риски;10.01.2021
36530,92;ядерные риски;15.04.2020
29985,82;ядерные риски;11.12.2022
12577,45;ядерные риски;23.08.2019
124159,63;ядерные риски;29.11.2022
2292355,48;ядерные риски;27.05.2019
18855,62;ядерные риски;07.06.2019
51611,17;ядерные риски;14.10.2020
77743,11;ядерные риски;23.04.2020
11067,58;ядерные риски;14.12.2021
42990,56;ядерные риски;09.04.2017
2833280,03;ядерные риски;22.09.2020
99718,16;ядерные риски;07.03.2020
78458,69;ядерные риски;09.04.2017
267761,87;ядерные риски;09.04.2022
20753,44;ядерные риски;24.02.2017
23837,84;ядерные риски;13.02.2017
88878,17;ядерные риски;16.02.2021
2526,05;ядерные риски;03.04.2020
67813,69;ядерные риски;30.09.2022
18097,06;ядерные риски;26.06.2018
535316,12;ядерные риски;23.04.2019
566789,74;ядерные риски;22.09.2019
475803,16;ядерные риски;25.04.2019
57805,01;ядерные риски;30.03.2021
47244,25;ядерные риски;28.11.2017
80809,64;ядерные риски;30.12.2020
498861,69;ядерные риски;08.10.2021
721,41;ядерные риски;21.06.2018
162402,23;ядерные риски;25.03.2021
9611,55;ядерные риски;28.12.2017
-9611,55;ядерные риски;26.11.2021
9611,55;ядерные риски;11.09.2022
39187,67;ядерные риски;13.11.2022
2833,95;ядерные риски;15.07.2020
10854,46;ядерные риски;27.06.2020
423203,42;ядерные риски;16.11.2020
16634,21;ядерные риски;26.04.2022
72938,66;ядерные риски;16.12.2019
56279,33;ядерные риски;04.09.2019
39888,09;ядерные риски;20.07.2018
4143,47;ядерные риски;22.04.2019
45184,83;ядерные риски;06.02.2018
6904,53;ядерные риски;18.11.2019
51939,83;ядерные риски;06.06.2017
31465,07;ядерные риски;26.03.2022
20481,97;ядерные риски;26.09.2022
26268,44;ядерные риски;05.11.2017
3465,91;ядерные риски;09.11.2022
4998,05;ядерные риски;20.03.2018
9676,37;ядерные риски;03.10.2021
28489,04;ядерные риски;08.04.2019
13403,65;ядерные риски;30.08.2021
60162,1;ядерные риски;19.08.2017
18955,41;ядерные риски;01.10.2017
79500,12;ядерные риски;19.07.2021
39524,47;ядерные риски;18.08.2017
-39524,47;ядерные риски;23.12.2021
39524,47;ядерные риски;14.04.2020
20107,84;ядерные риски;28.01.2019
95258,58;ядерные риски;03.10.2019
10788,97;ядерные риски;27.01.2021
-10788,97;ядерные риски;12.04.2021
10788,97;ядерные риски;11.04.2022
9753,56;ядерные риски;22.06.2018
8886,45;ядерные риски;22.10.2020
18777,57;ядерные риски;24.09.2021
33439,34;ядерные риски;15.09.2021
-33439,34;ядерные риски;08.12.2019
33439,34;ядерные риски;17.06.2021
15503,14;ядерные риски;02.03.2017
14204,97;ядерные риски;01.02.2021
56703,28;ядерные риски;06.12.2021
139846,96;ядерные риски;16.12.2018
87598,74;ядерные риски;13.05.2021
49524,35;ядерные риски;30.04.2021
53045,34;ядерные риски;04.02.2018
39305,05;ядерные риски;17.06.2022
