;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188
866;44747,33;16617,37;134332,94;133842,81;119390,3;108205,31;85206,97;63842,39;57433,02;175817,93;125674,0;14201,16;132963,09;17091,66;57810,04;90485,28;78609,09;314,19;39712,98;27119,05;30036,09;32172,54;100539,2;8043,14;110970,14;81688,1;16161,68;65350,48;125674,0;236267,41;16840,32;62837,0;21468,89;43659,15;53662,8;55924,93;60323,52;67612,61;23249,69;53411,45;96517,63;82819,17;63339,7;13278,71;473076,47;32228,47;11436,33;108079,64;87343,43;441835,86;58597,35;72980,15;8420,16;144525,1;23626,71;249337,22;502696,0;161287,8;64219,41;21741,6;65978,85;165657,81;67185,32;17468,69;59494,07;231742,86;37325,18;103128,08;11310,66;72237,42;276293,38;26919,37;16463,29;140377,86;28779,35;502696,0;74199,41;61454,59;45493,99;71005,81;27899,63;17468,69;81688,1;27773,95;116122,78;83196,19;27019,91;71131,48;160357,8;436591,48;19102,45;30664,46;44739,94;165356,82;136356,29;245290,51;40844,05;85222,05;502696,0;53411,45;236141,45;237461,02;84258,13;334069,25;178331,41;32423,89;130631,84;71389,83;32800,91;15834,92;84201,58;114111,99;245984,23;191024,48;81562,43;218924,11;373176,38;23501,04;60449,19;50143,93;154807,75;14703,86;136908,0;78797,6;99910,83;53160,1;25386,15;82567,82;31418,5;27396,93;15652,04;56678,97;52406,06;16714,64;387201,59;255118,22;56176,28;47127,75;502696,0;27773,95;74718,22;39964,33;230333,48;54793,86;44398,11;258574,26;63716,72;47649,3;121778,11;41660,93;183260,76;9488,39;180917,78;64572,22;25197,64;71005,81;31795,52;33818,87;107199,92;10833,1;25386,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
867;41598,09;34686,02;40592,7;228362,23;302371,64;119264,63;36571,13;5341,15;75027,38;13195,77;6158,03;16626,67;98654,09;44991,29;502696,0;86764,7;13824,14;38079,22;78106,39;93752,8;9299,88;84578,6;157595,2;90485,28;38958,94;32549,57;74021,99;45996,68;110467,45;202712,16;21050,4;441835,86;88600,17;18010,32;8420,16;41786,61;113609,3;24129,41;5026,96;41975,12;114111,99;99590,36;133526,74;82570,33;29784,74;12190,38;8922,85;107137,09;17217,34;82190,8;103806,72;74021,99;354777,7;31795,52;122494,45;23501,04;596951,5;382941,25;29438,43;93752,8;47002,08;65350,48;37953,55;98528,42;67863,96;175817,93;295710,92;125674,0;13007,26;53160,1;17217,34;222317,31;55045,21;24757,78;35251,56;137862,37;61580,26;105691,83;17845,71;125674,0;84201,58;207472,69;108708,01;4021,57;20233,51;97397,35;33749,99;17845,71;27648,28;15994,53;58312,74;46373,71;35440,07;49522,42;30312,57;37199,5;44520,01;42346,8;7414,77;192532,57;334788,52;26391,54;405950,26;154076,32;168026,14;96341,69;19039,61;596951,5;17343,01;441987,99;319588,98;12818,75;26985,98;112101,21;6283,7;53537,12;80934,06;6912,07;39176,36;196679,81;15080,88;73016,59;60917,33;116876,82;436591,48;56930,32;78550,38;33969,68;202209,47;23124,02;44739,94;14378,99;18348,4;120647,04;151789,06;28707,32;15480,77;7791,79;29156,37;71885,53;120521,37;38833,27;191275,83;31795,52;27145,58;473162,61;30036,09;28276,65;502696,0;23752,39;42741,73;25260,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
868;17468,69;26265,87;30161,76;57056,0;32675,24;35314,39;26768,56;125674,0;118133,56;51400,67;81348,78;62390,57;61494,8;75781,42;30161,76;23501,04;10682,29;52970,12;92873,09;137424,52;150934,47;380540,87;43073,44;411456,68;106779,38;30036,09;104560,77;65350,48;99132,91;502696,0;178205,73;75027,38;76912,49;61907,95;1005,39;34459,81;158600,59;79928,66;70754,46;26827,52;66607,22;58752,6;30161,76;179172,17;16211,95;62762,85;67738,29;14075,49;96341,69;109839,08;109839,08;21113,23;254238,5;20610,54;53411,45;35455,63;79802,99;128438,83;23124,02;61957,28;41472,42;236769,82;450168,42;198062,22;81436,75;38958,94;207110,75;67185,32;28025,3;207110,75;172424,73;26611,47;9425,55;80180,01;77163,84;247166,3;53034,43;16840,32;13195,77;61580,26;10430,94;38958,94;596951,5;23431,73;20107,84;46545,18;34434,68;11562,01;106320,2;26997,82;125422,65;302654,41;12441,73;42041,9;4021,57;43483,2;294090,91;35565,74;151789,06;121652,43;14955,21;92998,76;19165,29;45871,01;108961,49;5026,96;18474,08;59946,5;14689,13;132837,42;45368,31;75781,42;9425,55;18474,08;85458,32;18097,06;53788,47;131832,03;51400,67;31795,52;19165,29;111975,53;125674,0;23375,36;240414,36;98402,74;53034,43;194543,35;399643,32;27648,28;26831,4;26768,56;13698,47;57307,34;19102,45;118761,93;107714,49;72799,18;27522,61;129569,89;16588,97;101670,27;118435,63;13572,79;29156,37;82190,8;120395,69;23056,4;71005,81;26391,54;502696,0;40718,38;295836,6;25511,82;26768,56;57056,0;32947,95;18637,45;25888,84;14341,92;402031,13;502696,0;125674,0;29438,43;252981,76;33177,94;104058,07;16714,64;18348,4;19730,82;14326,84;;;;;;;;;;;;;;;;;;
869;165356,82;16149,11;73406,18;62948,85;39712,37;47053,31;502696,0;26991,57;39587,31;19450,56;176335,07;121024,06;250468,28;83698,88;57810,04;11562,01;205602,66;224202,42;33931,98;358170,9;125311,05;80431,36;121024,06;24757,78;58564,08;75027,38;11436,33;26391,54;333538,8;58815,43;13321,44;29910,41;22621,32;34937,37;23249,69;39225,37;109839,08;69962,72;15080,88;89605,56;95009,54;37827,87;66355,87;28905,02;84586,14;25637,5;42528,08;145781,84;179965,17;402031,13;120647,04;31869,48;20359,19;36068,44;11939,03;85961,02;27648,28;502696,0;107576,94;596951,5;10053,92;111975,53;29910,41;98528,42;42603,49;226441,12;53097,27;31041,48;29407,72;121149,74;24380,76;41723,77;207110,75;258637,09;106194,53;125674,0;17217,34;116876,82;237864,12;38633,44;22244,3;114991,71;113609,3;103548,26;114614,69;26642,89;90861,05;32457,86;628,37;45242,64;71885,53;52908,75;25763,17;15558,44;16211,95;28145,95;22244,3;232748,25;19228,12;41472,42;12190,38;89731,24;102047,29;9299,88;107576,94;63528,21;502696,0;87971,8;24380,76;18599,75;108372,18;49641,23;314826,57;50269,6;115620,08;82567,82;41975,12;490756,97;125674,0;11436,33;28402,32;502696,0;32549,57;87354,2;295710,92;256370,74;233301,21;125674,0;24255,08;120232,32;240690,84;112352,56;180593,54;45016,43;64093,74;51903,36;52406,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
870;87846,13;31825,68;93752,8;11649,98;33931,98;18474,08;12441,73;30915,8;19353,8;114991,71;28836,78;179952,6;8471,43;31041,48;20107,84;16274,78;17091,66;37827,87;70628,79;35817,09;18348,4;124668,61;38079,22;24883,45;22945,56;102549,98;84318,46;24506,43;40467,03;110467,45;107506,57;28836,78;45493,99;502696,0;65350,48;19856,49;30287,43;40969,72;192783,92;10305,27;341204,91;24255,08;48540,33;219929,5;421887,62;78550,38;43231,86;125674,0;115620,08;61705,93;23626,71;151789,06;17091,66;276293,38;29156,37;45368,31;37953,55;26517,21;87354,2;74399,01;125674,0;144022,4;199821,66;236141,45;11310,66;14326,84;107702,62;9802,57;54474,65;7917,46;502696,0;17192,2;10797,91;50269,6;43483,2;125674,0;37702,2;251725,02;125674,0;139630,73;55045,21;16463,29;85961,02;76032,77;195674,42;14075,49;122532,15;43608,88;4147,24;8922,85;29659,06;9676,9;84258,13;100413,53;319588,98;62900,47;59946,5;72890,92;113609,3;174435,51;233627,97;27773,95;64847,78;11117,62;100679,95;171167,99;45996,68;33554,96;14075,49;25511,82;13447,12;33303,61;10807,96;98025,72;22746,99;11276,73;50772,3;17091,66;31544,17;21113,23;77917,88;16840,32;27396,93;20861,88;57810,04;31418,5;178205,73;238277,9;23410,94;27396,93;431690,19;38833,27;502696,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
871;121149,74;38079,22;12441,73;17720,03;6912,07;77415,18;111472,84;66732,89;49138,53;18222,73;257254,68;33931,98;25511,82;17971,38;18976,77;83573,21;89605,56;32298,22;90887,44;14955,21;12441,73;51149,32;89731,24;12944,42;236141,45;29784,74;254615,52;114991,71;42792,0;195046,05;10430,94;164632,94;455635,88;435584,83;92998,76;241796,78;47881,79;110216,1;30161,76;63716,72;502696,0;36068,44;13572,79;21050,4;66267,9;39964,33;11687,68;352275,58;44801,78;95009,54;175943,6;90736,63;169659,9;11059,31;161287,8;55547,91;15834,92;35565,74;138241,4;61203,24;13824,14;10789,11;28653,67;30919,57;20107,84;502696,0;7414,77;161287,8;17594,36;1743,1;63968,07;33554,96;61454,59;120270,02;133340,11;28836,78;85030,11;53411,45;154578,27;31732,69;23878,06;88600,17;8922,85;30036,09;46449,11;105691,83;41091,31;67109,92;187354,69;26517,21;11813,36;28402,32;59569,48;22432,81;13195,77;125674,0;213457,29;211760,69;70628,79;56427,63;32800,91;441744,11;62962,67;11276,73;48761,51;63591,04;16337,62;10682,29;31041,48;8168,81;81688,1;73142,27;69874,74;237864,12;125674,0;38173,48;135979,27;8758,47;18960,44;107541,76;71005,81;198439,25;5403,98;91490,67;38581,92;54793,86;22369,97;74273,33;502696,0;114111,99;432441,72;178815,29;79048,95;70377,44;78043,55;70628,79;38079,22;11184,99;88600,17;25888,84;125674,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
872;26768,56;9425,55;114436,86;107506,57;83196,19;135350,9;110833,13;60072,17;42729,16;35314,39;240414,36;25386,15;44362,92;39084,61;125674,0;312299,89;65601,83;78546,25;58036,5;273009,17;37827,87;121379,24;20233,51;12190,38;24380,76;90861,05;85583,99;16274,78;72639,57;233971,06;77666,53;88474,5;19605,14;10789,11;23501,04;27522,61;99910,83;83321,86;24317,92;59569,48;90108,26;34560,35;14075,49;84578,6;12190,38;57056,0;125674,0;31292,83;83447,54;43483,2;31669,85;179172,17;32800,91;16463,29;63151,19;188511,0;6660,72;79048,95;42528,08;3518,87;60700,54;38204,9;50772,3;157439,36;134471,18;59494,07;74021,99;14269,03;9802,57;107331,88;62082,96;54039,82;104058,07;74147,66;106194,53;14201,16;312928,26;54291,17;121778,11;31795,52;69905,96;36822,48;30224,6;31669,85;93325,51;20497,43;14578,18;436591,48;65601,83;30287,43;132209,05;38173,48;26140,19;156459,45;39084,61;45619,66;87469,1;14129,78;94632,52;17720,03;60917,33;72639,57;37702,2;99659,48;48540,33;7289,09;313906,0;271455,84;14452,51;85709,67;220809,22;15878,91;65161,97;42037,95;70503,11;27773,95;16840,32;232622,57;37702,2;24380,76;85030,11;9186,77;157595,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
873;125674,0;52783,08;32549,57;32172,54;123286,19;80180,01;101418,92;23375,36;72262,55;35565,74;15395,07;38833,27;278619,26;15960,6;61932,15;100790,55;43734,55;9676,9;54919,54;17468,69;84075,91;107953,97;333359,08;11184,99;284651,61;102298,64;45493,99;17343,01;12190,38;314826,57;71885,53;101670,27;119264,63;417489,03;81688,1;74533,47;12645,49;44362,92;70628,79;131957,7;41091,31;26720,3;122909,17;46876,4;30350,27;63591,04;43231,86;67801,12;163627,55;8860,02;258762,77;502696,0;119264,63;255746,59;18976,77;344481,68;105189,14;23124,02;73016,59;31869,48;54039,82;125674,0;103128,08;125674,0;53537,12;81688,1;13572,79;100780,47;17845,71;34937,37;125674,0;178815,29;14077,36;16463,29;13949,81;94751,91;39335,96;21615,93;17217,34;242131,07;88331,54;63842,39;364541,53;28836,78;224328,09;136356,29;79300,29;486609,73;237864,12;79551,64;46248,03;54291,17;81688,1;63775,48;15583,58;502696,0;11939,03;333538,8;88097,47;292569,07;125674,0;12190,38;13362,14;49522,42;86840,73;61957,28;81625,26;41095,4;21238,91;98025,72;28025,3;502696,0;31825,68;45493,99;70126,09;65224,81;38958,94;276608,47;252981,76;55081,66;99156,79;35251,56;107702,62;70063,26;23878,06;55547,91;18725,43;95637,91;61957,28;56804,65;38581,92;387201,59;94004,15;9174,2;51400,67;38707,59;31825,68;6912,07;19165,29;80305,69;152693,91;63151,19;329519,74;21113,23;57684,37;9488,39;284651,61;137613,03;317783,05;118526,54;125674,0;37325,18;60323,52;71131,48;44802,78;250468,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
874;18976,77;192783,92;125674,0;476304,46;69120,7;35188,72;15583,58;22772,13;238848,46;51237,29;31418,5;18976,77;145202,14;53034,43;103128,08;25763,17;185927,96;193439,24;125674,0;20987,56;16211,95;125674,0;7791,79;55422,23;11184,99;18097,06;43483,2;22244,3;222317,31;34686,02;58597,35;67185,32;58036,5;380540,87;66213,36;74147,66;35565,74;254741,2;62393,95;126679,39;418745,77;21461,35;114237,67;43483,2;75349,1;100916,22;44290,13;73142,27;104309,42;78923,27;68869,35;48761,51;18222,73;29533,39;125422,65;61328,91;211286,79;99381,74;273009,17;125674,0;24380,76;20233,51;31795,52;18097,06;33806,31;122029,45;105189,14;41346,75;19605,14;22244,3;38707,59;41723,77;239730,77;74776,03;85030,11;52505,53;126135,22;14023,96;43734,55;110216,1;22945,56;48554,15;24255,08;374508,52;9111,37;16840,32;61957,28;314,19;85081,3;90736,63;119390,3;85332,65;113357,95;20736,21;20107,84;230863,14;93501,46;177326,01;395747,43;115620,08;71508,51;502696,0;3393,2;23083,8;502696,0;62082,96;39964,33;79551,64;42226,46;57181,67;49138,53;29659,06;8671,51;58312,74;82693,49;62208,63;38456,24;51114,13;21929,16;15457,9;27773,95;18411,24;45493,99;107756,04;20484,86;53662,8;14515,35;34434,68;225836,18;171922,03;79551,64;43860,23;16463,29;125674,0;57056,0;476807,16;192532,57;42792,0;68743,68;48887,19;133465,79;29030,69;202209,47;103555,38;502696,0;64947,18;20673,37;31544,17;38833,27;60449,19;125674,0;88851,52;319588,98;86040,82;255681,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
875;21741,6;34434,68;207110,75;37576,53;110467,45;46499,38;20861,88;103304,03;125674,0;38958,94;28402,32;65393,21;502696,0;21831,06;50269,6;180342,19;37199,5;5152,63;237272,51;24280,22;64729,42;279121,95;8922,85;2010,78;161684,63;502696,0;50897,97;35942,76;73833,48;103806,72;202308,3;66481,55;188511,0;12693,07;131832,03;125422,65;37450,85;20107,84;14075,49;23023,43;52531,73;47881,79;75907,1;40467,03;20861,88;9802,57;30790,13;160385,33;16463,29;83509,83;72266,32;15960,6;38958,94;67109,92;225242,96;22011,8;16211,95;17343,01;344221,09;54291,17;145202,14;47127,75;42100,79;10933,64;115048,26;43985,9;106320,2;125674,0;15084,65;38456,24;62585,65;485101,64;163124,85;19498,32;83070,51;109713,4;184615,11;18725,43;102424,31;25260,47;118761,93;15994,53;12818,75;83573,21;125674,0;95671,57;73906,38;61454,59;115620,08;136177,83;502696,0;72980,15;55296,56;254741,2;24255,08;7690,62;55799,26;47944,63;32549,57;23403,64;76284,12;100287,85;387201,59;116122,78;118526,54;331150,99;66858,57;23501,04;38581,92;88851,52;85222,05;26827,52;81688,1;43985,9;21113,23;16450,73;68995,03;169659,9;53072,81;155207,39;13824,14;279121,95;56427,63;70628,79;123625,51;192515,63;52623,05;502696,0;103178,35;26894,24;115117,38;24255,08;22244,3;31795,52;128438,83;39084,61;342222,66;49522,42;17720,03;439859,0;37450,85;56624,7;48761,51;125296,98;118133,56;38833,27;314,19;47002,08;42037,95;7917,46;11750,52;84297,21;22369,97;21741,6;18097,06;87846,13;20107,84;18097,06;62393,95;31042,11;30664,46;30224,6;39587,31;125674,0;125925,35;31732,69;30790,13;68366,66;33052,26;;;;;;;;;;;;;;;;;;;;
